sample_index,service_cycle,x_raw
0,4294087745,71
1,4294102745,327
2,4294117745,241
3,4294132745,295
4,4294147745,188
5,4294162745,191
6,4294177745,-217
7,4294192745,393
8,4294207745,28
9,4294222745,-20
10,4294237745,-208
11,4294252745,-325
12,4294267745,-147
13,4294282745,16
14,4294297745,250
15,4294312745,-210
16,4294327745,-295
17,4294342745,36
18,4294357745,-455
19,4294372745,-419
20,4294387745,2
21,4294402745,244
22,4294417745,-402
23,4294432745,-48
24,4294447745,-285
25,4294462745,-157
26,4294477745,-426
27,4294492745,180
28,4294507745,83
29,4294522745,-297
30,4294537745,-301
31,4294552745,-12
32,4294567745,218
33,4294582745,308
34,4294597745,196
35,4294612745,-281
36,4294627745,-271
37,4294642745,149
38,4294657745,-252
39,4294672745,29
40,4294687745,-439
41,4294702745,-249
42,4294717745,448
43,4294732745,-213
44,4294747745,-440
45,4294762745,213
46,4294777745,-377
47,4294792745,441
48,4294807745,-95
49,4294822745,90
50,4294837745,488
51,4294852745,-101
52,4294867745,-229
53,4294882745,-453
54,4294897745,111
55,4294912745,-225
56,4294927745,-325
57,4294942745,-364
58,4294957745,231
59,5449,-345
60,20449,315
61,35449,422
62,50449,-89
63,65449,-311
64,80449,-496
65,95449,284
66,110449,131
67,125449,-214
68,140449,501
69,155449,205
70,170449,196
71,185449,251
72,200449,-86
73,215449,-212
74,230449,246
75,245449,199
76,260449,428
77,275449,399
78,290449,122
79,305449,112
