sample_index,service_cycle,z_raw
0,100,179
1,15100,145
2,30100,126
3,45100,130
4,60100,164
5,75100,224
6,90100,285
7,105100,335
8,120100,356
9,135100,354
10,150100,320
11,165100,287
12,180100,250
13,195100,222
14,210100,190
15,225100,161
16,240100,135
17,255100,124
18,270100,147
19,285100,195
20,300100,261
21,315100,320
22,330100,354
23,345100,354
24,360100,333
25,375100,299
26,390100,269
27,405100,231
28,420100,205
29,435100,170
30,450100,143
31,465100,122
32,480100,136
33,495100,175
34,510100,236
35,525100,300
36,540100,340
37,555100,359
38,570100,340
39,585100,309
40,600100,280
41,615100,246
42,630100,217
43,645100,182
44,660100,148
45,675100,128
46,690100,129
47,705100,160
48,720100,213
49,735100,278
50,750100,330
51,765100,357
52,780100,347
53,795100,321
54,810100,289
55,825100,251
56,840100,223
57,855100,193
58,870100,161
59,885100,135
60,900100,124
61,915100,141
62,930100,190
63,945100,255
64,960100,316
65,975100,351
66,990100,359
67,1005100,338
68,1020100,301
69,1035100,272
70,1050100,237
71,1065100,199
72,1080100,172
73,1095100,144
74,1110100,124
75,1125100,139
76,1140100,167
77,1155100,233
78,1170100,295
79,1185100,340
80,1200100,356
81,1215100,348
82,1230100,317
83,1245100,279
84,1260100,247
85,1275100,217
86,1290100,185
87,1305100,155
88,1320100,127
89,1335100,126
90,1350100,157
91,1365100,206
92,1380100,272
93,1395100,327
94,1410100,355
95,1425100,351
96,1440100,328
97,1455100,292
98,1470100,256
99,1485100,225
100,1500100,198
101,1515100,165
102,1530100,135
103,1545100,126
104,1560100,144
105,1575100,184
106,1590100,249
107,1605100,306
108,1620100,349
109,1635100,357
110,1650100,339
111,1665100,305
112,1680100,271
113,1695100,239
114,1710100,208
115,1725100,177
116,1740100,147
117,1755100,124
118,1770100,131
119,1785100,166
120,1800100,225
121,1815100,285
122,1830100,340
123,1845100,361
124,1860100,343
125,1875100,320
126,1890100,282
127,1905100,250
128,1920100,221
129,1935100,188
130,1950100,157
131,1965100,131
132,1980100,128
133,1995100,153
134,2010100,202
135,2025100,268
136,2040100,322
137,2055100,355
138,2070100,355
139,2085100,326
140,2100100,295
141,2115100,259
142,2130100,232
143,2145100,198
144,2160100,168
145,2175100,141
146,2190100,123
147,2205100,136
148,2220100,181
149,2235100,243
150,2250100,303
151,2265100,347
152,2280100,360
153,2295100,339
154,2310100,312
155,2325100,275
156,2340100,241
157,2355100,208
158,2370100,182
159,2385100,150
160,2400100,130
161,2415100,130
162,2430100,165
163,2445100,219
164,2460100,282
165,2475100,338
166,2490100,358
167,2505100,349
168,2520100,323
169,2535100,286
170,2550100,251
171,2565100,220
172,2580100,189
173,2595100,155
174,2610100,135
175,2625100,127
176,2640100,148
177,2655100,193
178,2670100,261
179,2685100,318
180,2700100,351
181,2715100,357
182,2730100,336
183,2745100,303
184,2760100,265
185,2775100,235
186,2790100,202
187,2805100,169
188,2820100,137
189,2835100,128
190,2850100,133
191,2865100,176
192,2880100,240
193,2895100,295
194,2910100,344
195,2925100,358
196,2940100,346
197,2955100,312
198,2970100,277
199,2985100,245
200,3000100,216
201,3015100,181
202,3030100,150
203,3045100,126
204,3060100,131
205,3075100,156
206,3090100,213
207,3105100,278
208,3120100,329
209,3135100,356
210,3150100,354
211,3165100,326
212,3180100,292
213,3195100,258
214,3210100,225
215,3225100,195
216,3240100,164
217,3255100,138
218,3270100,123
219,3285100,143
220,3300100,191
221,3315100,254
222,3330100,311
223,3345100,351
224,3360100,359
225,3375100,337
226,3390100,305
227,3405100,267
228,3420100,239
229,3435100,208
230,3450100,173
231,3465100,144
232,3480100,127
233,3495100,132
234,3510100,170
235,3525100,228
236,3540100,294
237,3555100,340
238,3570100,357
239,3585100,348
240,3600100,317
241,3615100,281
242,3630100,246
243,3645100,216
244,3660100,187
245,3675100,153
246,3690100,127
247,3705100,129
248,3720100,153
249,3735100,207
250,3750100,269
251,3765100,325
252,3780100,355
253,3795100,353
254,3810100,329
255,3825100,294
256,3840100,262
257,3855100,226
258,3870100,197
259,3885100,164
260,3900100,136
261,3915100,126
262,3930100,141
263,3945100,186
264,3960100,243
265,3975100,308
266,3990100,349
267,4005100,359
268,4020100,338
269,4035100,305
270,4050100,272
271,4065100,238
272,4080100,211
273,4095100,179
274,4110100,151
275,4125100,129
276,4140100,130
277,4155100,163
278,4170100,227
279,4185100,286
280,4200100,336
281,4215100,359
282,4230100,344
283,4245100,320
284,4260100,287
285,4275100,251
286,4290100,219
287,4305100,184
288,4320100,156
289,4335100,133
290,4350100,123
291,4365100,152
292,4380100,199
293,4395100,265
294,4410100,320
295,4425100,355
296,4440100,351
297,4455100,334
298,4470100,296
299,4485100,258
300,4500100,236
301,4515100,204
302,4530100,169
303,4545100,137
304,4560100,128
305,4575100,138
306,4590100,179
307,4605100,243
308,4620100,300
309,4635100,345
310,4650100,360
311,4665100,345
312,4680100,315
313,4695100,275
314,4710100,240
315,4725100,210
316,4740100,181
317,4755100,148
318,4770100,132
319,4785100,128
320,4800100,162
321,4815100,216
322,4830100,280
323,4845100,334
324,4860100,361
325,4875100,355
326,4890100,323
327,4905100,286
328,4920100,253
329,4935100,221
330,4950100,194
331,4965100,162
332,4980100,134
333,4995100,126
334,5010100,147
335,5025100,193
336,5040100,257
337,5055100,318
338,5070100,352
339,5085100,357
340,5100100,334
341,5115100,300
342,5130100,264
343,5145100,237
344,5160100,204
345,5175100,170
346,5190100,138
347,5205100,123
348,5220100,133
349,5235100,172
350,5250100,233
351,5265100,298
352,5280100,344
353,5295100,358
354,5310100,346
355,5325100,318
356,5340100,277
357,5355100,246
358,5370100,219
359,5385100,186
360,5400100,151
361,5415100,130
362,5430100,127
363,5445100,157
364,5460100,207
365,5475100,277
366,5490100,329
367,5505100,355
368,5520100,352
369,5535100,327
370,5550100,289
371,5565100,259
372,5580100,230
373,5595100,192
374,5610100,163
375,5625100,141
376,5640100,127
377,5655100,141
378,5670100,187
379,5685100,250
380,5700100,309
381,5715100,347
382,5730100,357
383,5745100,336
384,5760100,302
385,5775100,269
386,5790100,236
387,5805100,209
388,5820100,175
389,5835100,142
390,5850100,126
391,5865100,131
392,5880100,168
393,5895100,226
394,5910100,289
395,5925100,337
396,5940100,359
397,5955100,347
398,5970100,318
399,5985100,282
400,6000100,248
401,6015100,221
402,6030100,185
403,6045100,157
404,6060100,134
405,6075100,126
406,6090100,154
407,6105100,201
408,6120100,269
409,6135100,327
410,6150100,354
411,6165100,353
412,6180100,331
413,6195100,295
414,6210100,264
415,6225100,229
416,6240100,195
417,6255100,167
418,6270100,138
419,6285100,125
420,6300100,138
421,6315100,185
422,6330100,240
423,6345100,304
424,6360100,349
425,6375100,359
426,6390100,338
427,6405100,311
428,6420100,273
429,6435100,240
430,6450100,212
431,6465100,175
432,6480100,147
433,6495100,127
434,6510100,131
435,6525100,164
436,6540100,223
437,6555100,284
438,6570100,336
439,6585100,358
440,6600100,350
441,6615100,318
442,6630100,287
443,6645100,252
444,6660100,224
445,6675100,191
446,6690100,156
447,6705100,134
448,6720100,129
449,6735100,149
450,6750100,200
451,6765100,261
452,6780100,321
453,6795100,349
454,6810100,356
455,6825100,334
456,6840100,298
457,6855100,266
458,6870100,229
459,6885100,201
460,6900100,168
461,6915100,137
462,6930100,124
463,6945100,138
464,6960100,177
465,6975100,240
466,6990100,303
467,7005100,349
468,7020100,357
469,7035100,340
470,7050100,311
471,7065100,274
472,7080100,244
473,7095100,210
474,7110100,177
475,7125100,152
476,7140100,128
477,7155100,132
478,7170100,157
479,7185100,215
480,7200100,281
481,7215100,332
482,7230100,355
483,7245100,349
484,7260100,324
485,7275100,289
486,7290100,254
487,7305100,224
488,7320100,192
489,7335100,160
490,7350100,134
491,7365100,124
492,7380100,140
493,7395100,192
494,7410100,259
495,7425100,313
496,7440100,353
497,7455100,360
498,7470100,338
499,7485100,302
500,7500100,268
501,7515100,236
502,7530100,202
503,7545100,173
504,7560100,144
505,7575100,128
506,7590100,133
507,7605100,170
508,7620100,232
509,7635100,295
510,7650100,341
511,7665100,359
512,7680100,345
513,7695100,316
514,7710100,277
515,7725100,245
516,7740100,219
517,7755100,182
518,7770100,154
519,7785100,128
520,7800100,129
521,7815100,154
522,7830100,212
523,7845100,274
524,7860100,328
525,7875100,355
526,7890100,354
527,7905100,332
528,7920100,291
529,7935100,258
530,7950100,228
531,7965100,201
532,7980100,165
533,7995100,140
534,8010100,127
535,8025100,140
536,8040100,189
537,8055100,250
538,8070100,307
539,8085100,351
540,8100100,356
541,8115100,338
542,8130100,307
543,8145100,270
544,8160100,239
545,8175100,207
546,8190100,176
547,8205100,147
548,8220100,129
549,8235100,131
550,8250100,166
551,8265100,227
552,8280100,288
553,8295100,337
554,8310100,356
555,8325100,348
556,8340100,319
557,8355100,283
558,8370100,249
559,8385100,222
560,8400100,188
561,8415100,158
562,8430100,133
563,8445100,127
564,8460100,148
565,8475100,199
566,8490100,264
567,8505100,317
568,8520100,352
569,8535100,351
570,8550100,330
571,8565100,298
572,8580100,260
573,8595100,231
574,8610100,201
575,8625100,163
576,8640100,137
577,8655100,125
578,8670100,136
579,8685100,177
580,8700100,242
581,8715100,301
582,8730100,343
583,8745100,357
584,8760100,340
585,8775100,310
586,8790100,274
587,8805100,244
588,8820100,209
589,8835100,183
590,8850100,147
591,8865100,127
592,8880100,131
593,8895100,163
594,8910100,221
595,8925100,285
596,8940100,338
597,8955100,359
598,8970100,352
599,8985100,324
600,9000100,284
601,9015100,251
602,9030100,225
603,9045100,191
604,9060100,161
605,9075100,132
606,9090100,126
607,9105100,148
608,9120100,198
609,9135100,261
610,9150100,319
611,9165100,349
612,9180100,353
613,9195100,331
614,9210100,300
615,9225100,264
616,9240100,230
617,9255100,203
618,9270100,170
619,9285100,145
620,9300100,125
621,9315100,139
622,9330100,174
623,9345100,233
624,9360100,299
625,9375100,346
626,9390100,360
627,9405100,343
628,9420100,314
629,9435100,276
630,9450100,246
631,9465100,211
632,9480100,183
633,9495100,153
634,9510100,128
635,9525100,133
636,9540100,158
637,9555100,215
638,9570100,279
639,9585100,329
640,9600100,352
641,9615100,353
642,9630100,323
643,9645100,293
644,9660100,255
645,9675100,227
646,9690100,195
647,9705100,161
648,9720100,136
649,9735100,126
650,9750100,146
651,9765100,191
652,9780100,254
653,9795100,313
654,9810100,354
655,9825100,361
656,9840100,336
657,9855100,302
658,9870100,266
659,9885100,239
660,9900100,206
661,9915100,174
662,9930100,144
663,9945100,126
664,9960100,131
665,9975100,169
666,9990100,227
667,10005100,293
668,10020100,341
669,10035100,358
670,10050100,347
671,10065100,314
672,10080100,279
673,10095100,247
674,10110100,215
675,10125100,181
676,10140100,158
677,10155100,132
678,10170100,129
679,10185100,152
680,10200100,210
681,10215100,270
682,10230100,324
683,10245100,356
684,10260100,353
685,10275100,332
686,10290100,294
687,10305100,260
688,10320100,229
689,10335100,197
690,10350100,164
691,10365100,137
692,10380100,122
693,10395100,136
694,10410100,182
695,10425100,248
696,10440100,309
697,10455100,344
698,10470100,357
699,10485100,340
700,10500100,306
701,10515100,274
702,10530100,237
703,10545100,210
704,10560100,174
705,10575100,147
706,10590100,127
707,10605100,131
708,10620100,168
709,10635100,224
710,10650100,287
711,10665100,338
712,10680100,359
713,10695100,346
714,10710100,320
715,10725100,286
716,10740100,250
717,10755100,218
718,10770100,191
719,10785100,159
720,10800100,135
721,10815100,126
722,10830100,150
723,10845100,198
724,10860100,266
725,10875100,320
726,10890100,352
727,10905100,355
728,10920100,332
729,10935100,296
730,10950100,264
731,10965100,231
732,10980100,200
733,10995100,169
734,11010100,135
735,11025100,126
736,11040100,138
737,11055100,176
738,11070100,243
739,11085100,303
740,11100100,348
741,11115100,361
742,11130100,341
743,11145100,311
744,11160100,277
745,11175100,243
746,11190100,214
747,11205100,183
748,11220100,146
749,11235100,133
750,11250100,131
751,11265100,161
752,11280100,220
753,11295100,283
754,11310100,335
755,11325100,354
756,11340100,351
757,11355100,322
758,11370100,287
759,11385100,252
760,11400100,222
761,11415100,193
762,11430100,166
763,11445100,135
764,11460100,127
765,11475100,144
766,11490100,199
767,11505100,260
768,11520100,316
769,11535100,350
770,11550100,351
771,11565100,337
772,11580100,298
773,11595100,264
774,11610100,234
775,11625100,202
776,11640100,170
777,11655100,140
778,11670100,124
779,11685100,135
780,11700100,176
781,11715100,239
782,11730100,299
783,11745100,341
784,11760100,358
785,11775100,347
786,11790100,314
787,11805100,277
788,11820100,246
789,11835100,215
790,11850100,182
791,11865100,149
792,11880100,127
793,11895100,128
794,11910100,157
795,11925100,214
796,11940100,273
797,11955100,326
798,11970100,357
799,11985100,351
800,12000100,324
801,12015100,290
802,12030100,257
803,12045100,228
804,12060100,194
805,12075100,161
806,12090100,134
807,12105100,126
808,12120100,146
809,12135100,190
810,12150100,250
811,12165100,311
812,12180100,352
813,12195100,354
814,12210100,334
815,12225100,303
816,12240100,266
817,12255100,238
818,12270100,209
819,12285100,177
820,12300100,143
821,12315100,130
822,12330100,133
823,12345100,170
824,12360100,229
825,12375100,295
826,12390100,337
827,12405100,359
828,12420100,345
829,12435100,318
830,12450100,279
831,12465100,250
832,12480100,215
833,12495100,186
834,12510100,157
835,12525100,131
836,12540100,125
837,12555100,155
838,12570100,203
839,12585100,268
840,12600100,328
841,12615100,351
842,12630100,354
843,12645100,332
844,12660100,293
845,12675100,260
846,12690100,228
847,12705100,197
848,12720100,166
849,12735100,140
850,12750100,128
851,12765100,141
852,12780100,183
853,12795100,246
854,12810100,308
855,12825100,350
856,12840100,356
857,12855100,339
858,12870100,303
859,12885100,270
860,12900100,239
861,12915100,210
862,12930100,173
863,12945100,147
864,12960100,126
865,12975100,130
866,12990100,163
867,13005100,221
868,13020100,286
869,13035100,335
870,13050100,357
871,13065100,345
872,13080100,323
873,13095100,286
874,13110100,249
875,13125100,219
876,13140100,189
877,13155100,162
878,13170100,132
879,13185100,129
880,13200100,150
881,13215100,202
882,13230100,264
883,13245100,324
884,13260100,356
885,13275100,360
886,13290100,333
887,13305100,297
888,13320100,265
889,13335100,230
890,13350100,199
891,13365100,171
892,13380100,138
893,13395100,123
894,13410100,134
895,13425100,180
896,13440100,239
897,13455100,301
898,13470100,344
899,13485100,358
900,13500100,344
901,13515100,309
902,13530100,277
903,13545100,242
904,13560100,216
905,13575100,178
906,13590100,149
907,13605100,131
908,13620100,128
909,13635100,161
910,13650100,215
911,13665100,283
912,13680100,329
913,13695100,358
914,13710100,353
915,13725100,325
916,13740100,290
917,13755100,254
918,13770100,222
919,13785100,191
920,13800100,164
921,13815100,137
922,13830100,126
923,13845100,143
924,13860100,194
925,13875100,254
926,13890100,316
927,13905100,352
928,13920100,356
929,13935100,334
930,13950100,304
931,13965100,265
932,13980100,235
933,13995100,208
934,14010100,171
935,14025100,140
