sample_index,service_cycle,z_raw
0,100,239
1,15100,238
2,30100,242
3,45100,239
4,60100,244
5,75100,241
6,90100,239
7,105100,240
8,120100,238
9,135100,237
10,150100,236
11,165100,241
12,180100,241
13,195100,237
14,210100,241
15,225100,237
16,240100,236
17,255100,243
18,270100,239
19,285100,242
20,300100,242
21,315100,240
22,330100,241
23,345100,241
24,360100,240
25,375100,239
26,390100,239
27,405100,243
28,420100,236
29,435100,241
30,450100,238
31,465100,242
32,480100,243
33,495100,242
34,510100,243
35,525100,239
36,540100,241
37,555100,240
38,570100,242
39,585100,240
40,600100,240
41,615100,241
42,630100,243
43,645100,238
44,660100,241
45,675100,240
46,690100,242
47,705100,238
48,720100,243
49,735100,241
50,750100,239
51,765100,240
52,780100,238
53,795100,237
54,810100,239
55,825100,236
56,840100,241
57,855100,242
58,870100,240
59,885100,239
60,900100,244
61,915100,239
62,930100,240
63,945100,241
64,960100,241
65,975100,239
66,990100,240
67,1005100,240
68,1020100,237
69,1035100,244
70,1050100,238
71,1065100,240
72,1080100,240
73,1095100,235
74,1110100,242
75,1125100,241
76,1140100,239
77,1155100,241
78,1170100,237
79,1185100,240
80,1200100,242
81,1215100,241
82,1230100,243
83,1245100,241
84,1260100,237
85,1275100,240
86,1290100,238
87,1305100,241
88,1320100,236
89,1335100,240
90,1350100,242
91,1365100,244
92,1380100,241
93,1395100,240
94,1410100,243
95,1425100,238
96,1440100,241
97,1455100,240
98,1470100,239
99,1485100,240
100,1500100,241
101,1515100,241
102,1530100,241
103,1545100,238
104,1560100,238
105,1575100,240
106,1590100,244
107,1605100,240
108,1620100,241
109,1635100,240
110,1650100,241
111,1665100,241
112,1680100,238
113,1695100,240
114,1710100,240
115,1725100,241
116,1740100,243
117,1755100,240
118,1770100,240
119,1785100,239
120,1800100,240
121,1815100,239
122,1830100,240
123,1845100,241
124,1860100,242
125,1875100,243
126,1890100,242
127,1905100,238
128,1920100,239
129,1935100,239
130,1950100,240
131,1965100,239
132,1980100,240
133,1995100,241
134,2010100,241
135,2025100,241
136,2040100,240
137,2055100,236
138,2070100,239
139,2085100,239
140,2100100,241
141,2115100,241
142,2130100,239
143,2145100,247
144,2160100,243
145,2175100,240
146,2190100,240
147,2205100,242
148,2220100,242
149,2235100,239
150,2250100,241
151,2265100,242
152,2280100,239
153,2295100,237
154,2310100,239
155,2325100,241
156,2340100,240
157,2355100,241
158,2370100,243
159,2385100,239
160,2400100,241
161,2415100,242
162,2430100,241
163,2445100,237
164,2460100,240
165,2475100,237
166,2490100,239
167,2505100,236
168,2520100,239
169,2535100,236
170,2550100,245
171,2565100,242
172,2580100,239
173,2595100,237
174,2610100,239
175,2625100,242
176,2640100,238
177,2655100,237
